Year,Estimate,Lower bound,Upper bound
2020.5,102.996663661025,57.5999595375293,188.885582381261
2019.5,106.622354115607,61.7256229778243,189.139710644025
2018.5,111.052260135844,66.275595868647,189.10708927627
2017.5,114.492676930986,70.3794259774818,188.390731545859
2016.5,118.150904884757,75.4280604421493,188.297875165647
2015.5,123.320257796046,81.5117228339306,189.167451720295
2014.5,128.242556129417,87.7314724371725,188.999274664308
2013.5,132.500784235485,93.7606733230616,188.79373862862
2012.5,136.177406865673,100.031943164298,186.685037780081
2011.5,140.513772144404,106.709804041818,187.128548283711
2010.5,144.994828227515,113.286873197044,187.856594605431
2009.5,148.911840505238,119.937153912773,188.475979751452
2008.5,152.847748217203,125.749507701412,188.904078855517
2007.5,155.632814974718,129.915280631072,188.42685904224
2006.5,158.264611688671,134.088136431072,188.294119786283
2005.5,160.755135546561,138.199925604645,188.030401658853
2004.5,162.504157495025,141.452218578901,187.83339970358
2003.5,164.172024270616,144.237959183858,187.704462859483
2002.5,165.800250394221,146.54212549749,188.042259851797
2001.5,167.374589955634,148.420033353699,188.394512218022
2000.5,168.898093603899,150.241230345729,189.13788744823
1999.5,170.229695441894,151.608050253553,190.062366033622
1998.5,171.480417051087,153.010712821523,191.110686901103
1997.5,172.780519117212,154.279242118532,192.080120923062
1996.5,173.74870402851,155.122627095702,193.114522503748
1995.5,174.577240417969,155.697584737547,194.176625377774
1994.5,175.354179337845,156.289219632007,194.885457905074
1993.5,176.140811675569,157.107768216543,195.883635687378
1992.5,176.700527343352,157.867529482717,196.529135702911
1991.5,176.940924744606,158.264064907325,196.87101912232
1990.5,176.695371698018,158.285763650093,196.916892827929
1989.5,176.127536667827,157.515094438619,196.263492120224
1988.5,175.720473446846,157.058806106578,196.130206606058
1987.5,176.02957111949,157.25563293983,196.753881973133
1986.5,176.796907137409,158.110803933462,197.553760487152
1985.5,177.864704767227,158.965795929312,198.833976038851
1984.5,179.039443370631,159.653998336901,200.125273065388
1983.5,180.209973351118,160.310941344514,201.889819961001
1982.5,181.680470451402,161.354628905911,203.921793940383
1981.5,183.501752369088,162.870176308909,206.174747134229
1980.5,185.745227292406,164.759812495538,209.014079326636
1979.5,188.254197464607,167.036797224015,212.26049689684
1978.5,191.137453449368,169.58941712037,215.912471452726
1977.5,194.377871937639,172.49225424192,219.778034416476
1976.5,197.75996953082,175.282971700599,223.939003140722
1975.5,201.342453731277,177.830198196795,228.31393392708
1974.5,205.051188167622,180.588932616925,232.940222804532
1973.5,209.158479665962,183.843410133214,237.883834596369
1972.5,213.492602234093,187.0209198242,243.2106500224
1971.5,218.180340625348,190.378423513403,250.075527892215
1970.5,223.191350618407,193.491539075971,257.77914490775
1969.5,228.578252991758,196.97110549454,266.193870396685
1968.5,234.347110256112,200.479868834967,275.915151567938
1967.5,240.189394203221,204.041671167655,286.622405963786
1966.5,246.226077427252,206.911936809601,297.942920527332
1965.5,252.140372521439,209.587271635865,310.133000563944
1964.5,258.287642302083,211.853893056925,322.021591636694
1963.5,263.96450595319,213.886935396265,334.399989095002
1962.5,269.540683251939,215.848641210227,347.198189820681
1961.5,275.024716755819,217.327072173807,360.804930509854
1960.5,280.325226868798,218.474012144906,375.515531426501
1959.5,285.63385598007,219.08393853664,390.075634167149
