Year,Estimate,Lower bound,Upper bound
2020.5,84.9914560713948,59.540065169101,122.848124762499
2019.5,87.8207453964248,63.7033798965582,122.181123240529
2018.5,90.8327145737568,68.1864534149649,121.710724581476
2017.5,94.0606512884842,72.7869493863519,121.880330747539
2016.5,97.4522718499734,77.6824620335484,121.913717883098
2015.5,100.894629300228,82.4626073641776,122.578131568131
2014.5,104.526068214571,87.5889447219732,123.952575358605
2013.5,108.340021934641,93.0125620638433,125.792619476443
2012.5,112.466753399352,98.4099873081543,127.882260820974
2011.5,116.865800943186,103.948612255126,130.718034098523
2010.5,121.524114531245,109.395179239979,134.600829580632
2009.5,126.887061963185,115.268116834345,139.442640045403
2008.5,132.889177466764,121.523531383825,145.120688474916
2007.5,139.493056829839,128.048036477598,151.596213861945
2006.5,146.337985466718,135.001138918605,158.448782653676
2005.5,153.100514827851,141.635191819351,165.565825070172
2004.5,159.494079176624,147.801811812584,172.134736905692
2003.5,165.295875368112,153.766390452693,178.006326621685
2002.5,170.444971534607,158.928826246271,183.235920448049
2001.5,174.896478648747,163.253777931337,187.6823572313
2000.5,178.921939519659,167.238181609858,191.6058462875
1999.5,182.605111107518,170.944898531375,195.290814377673
1998.5,186.131994908238,174.339934972478,198.829588440734
1997.5,189.35839986024,177.57721501887,202.03255193589
1996.5,192.497738745883,180.636392173575,205.248343089949
1995.5,195.118827601833,183.273164212077,208.228303492428
1994.5,196.8177554435,184.832965189666,210.17103408018
1993.5,197.700822491994,185.669772452301,211.035921457742
1992.5,198.166388364101,185.802630239231,211.419483911645
1991.5,198.449089103329,185.845727289908,211.793508358228
1990.5,199.086509852964,186.237767565211,212.637311506553
1989.5,200.482998384101,187.411063313807,214.134762456619
1988.5,202.890381722611,189.637653438712,216.745357769793
1987.5,206.366505854257,192.712698428172,220.46004936706
1986.5,210.588066133852,196.795242165788,225.046004196035
1985.5,215.322258696361,201.131433145525,230.041180038013
1984.5,219.908515214441,205.284403744555,235.165631410817
1983.5,224.363130704636,209.368233418673,240.344272713159
1982.5,229.085683758733,213.542809942696,245.486077544466
1981.5,234.153728388667,218.089222615324,251.281482554833
1980.5,239.868252390119,222.991232837519,257.755601496167
1979.5,246.82343581053,228.982665706906,265.584463040546
1978.5,255.020314470349,236.3077005067,274.435747015111
1977.5,264.420594403217,244.912157572433,284.957569268679
1976.5,274.709418354051,254.125307907944,296.249738839883
1975.5,285.223114848947,263.199342650723,308.84029762831
1974.5,294.744794761201,271.093491423254,320.4716875902
1973.5,302.705517699094,277.65535864578,330.264192753707
1972.5,308.896149518439,282.759262907656,337.929250435606
1971.5,313.345963227145,285.776441643465,343.756760059774
1970.5,316.508123262432,287.611715093319,348.443524787098
1969.5,319.201653030952,288.105461716645,352.984039309111
1968.5,321.503285349609,288.06469540741,357.18665006644
1967.5,323.836482659756,287.708628118456,361.708815377477
1966.5,326.157190799062,287.798620178988,366.311475757123
1965.5,328.895952635431,287.975960628338,370.958857317407
1964.5,331.935832134506,288.475879342472,375.910381793594
1963.5,335.080686558728,289.515391291541,381.03104828944
1962.5,338.164422692961,291.315603228894,386.282000881227
1961.5,341.575861180264,293.459996304522,390.898461527954
1960.5,345.502158955008,295.905979507793,396.494081323995
1959.5,349.416113513353,299.82088039497,400.726780751722
1958.5,353.539863660173,303.886556973031,405.650164670361
1957.5,357.4727387752,308.805468928582,410.654195720412
1956.5,361.493924979692,313.629854895979,413.963974289223
1955.5,365.319291372312,317.217397324694,417.974486385189
1954.5,369.217511400767,320.790470335908,421.843675204404
1953.5,373.065604364071,325.043620058414,425.54854705705
1952.5,376.630557883152,328.37734119052,429.404015166804
1951.5,379.295287997923,331.32672074085,433.565867293411
1950.5,382.443830855547,332.461073538801,439.25350954342
1949.5,385.560433926297,332.620467863299,446.121061340267
1948.5,388.326231215617,331.526880714538,455.410058002349
1947.5,391.144573656698,327.947205217581,466.803262925387
1946.5,393.496751256338,323.626200630771,481.364171152416
1945.5,395.740104381765,316.252265015797,497.258172406286
1944.5,397.807975771253,308.206921832351,517.463378101931
