Year,Estimate,Lower bound,Upper bound
2020.5,107.83094463327,90.4805500851466,128.538667210281
2019.5,111.89061483116,95.853848509662,130.524952552917
2018.5,116.230972258065,101.048662572602,133.303757101442
2017.5,120.725995132428,106.525092811845,136.579016217704
2016.5,125.440741129824,112.068006903941,140.200998154172
2015.5,140.190007116167,126.615664677024,155.225497623984
2014.5,139.21190517057,126.830376815006,153.07164628964
2013.5,141.217506234474,129.426722409616,154.100055402673
2012.5,147.252046292979,135.654149346597,160.05803997334
2011.5,153.768092337437,142.219762727705,166.409689624504
2010.5,160.62904006169,149.093643317699,173.338893313104
2009.5,167.748939282524,156.061867944762,180.553049166753
2008.5,174.94488513147,163.013751457238,188.201806966914
2007.5,181.986799882515,169.974898791217,195.561214231583
2006.5,188.893353477201,176.564908711344,202.598575994002
2005.5,195.541332694091,182.844110532466,209.475640322213
2004.5,201.953679345886,188.825554227412,216.074132424976
2003.5,208.091941115219,194.664274484469,222.403454523957
2002.5,213.895170220093,200.316403882104,228.577945278862
2001.5,219.433715819984,205.440855853024,234.446303148806
2000.5,224.854237383036,210.494674694711,240.28133112056
1999.5,230.042281836989,215.072630196907,246.000340080674
1998.5,235.016219119221,219.67389126498,251.446325687852
1997.5,239.643508401123,223.827232572067,256.735262343453
1996.5,243.817829698345,227.583192109156,261.305121840923
1995.5,247.455683791101,230.763574255829,265.262813079611
1994.5,250.621068903526,233.234099730325,268.672530193417
1993.5,253.275400873451,235.464911848499,271.798512643475
1992.5,255.605306637845,237.124885385247,274.309810899641
1991.5,257.658330380092,238.352338033042,276.892580140211
1990.5,259.56178239358,239.508941912114,279.875302194995
1989.5,261.543307743882,240.428437504293,282.566713587116
1988.5,263.783280071648,241.529193763984,285.384008098148
1987.5,266.086311992214,242.736788049903,288.923120453546
1986.5,268.617871710998,244.158026305973,292.256344102684
1985.5,271.352926172199,245.940753381238,295.643064211055
1984.5,274.188700587283,247.514708412959,299.455217454344
1983.5,277.130525276295,249.476308201432,303.421732759391
1982.5,280.434492342201,252.289623138665,307.543304611166
1981.5,283.715101860483,254.92374338486,311.817478947368
1980.5,287.244962962579,258.360091313499,315.644435168728
1979.5,290.944110274888,262.276674515534,319.952724007157
1978.5,294.795464196516,266.20545844247,324.33063605254
1977.5,298.884077781959,269.982236362188,328.798973891854
1976.5,303.400552855867,274.177559011478,334.054051671918
1975.5,307.963778422976,278.51494478486,339.079138720378
1974.5,312.55514701557,282.185477800041,343.990765296283
1973.5,317.584433132409,286.634670503383,349.606784129836
1972.5,322.524983231718,291.115317639448,355.084200865163
1971.5,327.492045976315,295.925837058181,360.588622869383
1970.5,332.654435699498,301.352105538552,365.788295390257
1969.5,338.101074114136,307.027533068378,370.711565123789
1968.5,343.472362185631,312.810888373602,376.294486007653
1967.5,349.237966185972,319.079908083606,381.498520983702
1966.5,355.025482697073,324.903271282996,387.051930194838
1965.5,361.098913991683,330.836579565538,392.788252010544
1964.5,366.747064643713,336.300090731917,399.42674864431
1963.5,372.591358827961,340.727206229727,406.879796021709
1962.5,378.526836655452,343.898656977375,415.797026554611
1961.5,384.20966802228,345.97660909925,426.147835684107
1960.5,389.951276307106,347.282233509515,438.27734062254
1959.5,395.700310721406,347.104019999884,450.991079616182
1958.5,401.532174125212,345.753032610494,466.001108295949
1957.5,407.429863321995,343.384106975522,482.731168002608
1956.5,413.279914258448,340.819703786501,501.261087133448
