Year,Estimate,Lower bound,Upper bound
2020.5,77.5168267821527,46.8964934855492,127.869383401367
2019.5,80.3446746874261,50.2891043747171,127.159581877543
2018.5,83.4780249880263,54.3311238829865,127.062870227579
2017.5,86.6408373046249,58.7007311195275,126.00833272947
2016.5,90.0628863257795,63.5739751254615,126.275118885351
2015.5,93.7638734565161,68.6063390709943,126.989478359494
2014.5,98.0327440679142,74.1558956913097,128.143980294208
2013.5,102.66041318326,80.3762908491586,129.841203488588
2012.5,108.172016624154,87.4073022661127,131.667744488079
2011.5,114.494359490273,95.3610652723606,135.637255669025
2010.5,121.902824545261,104.492641711736,141.192448556334
2009.5,130.259986751073,114.396106464865,147.672199828073
2008.5,139.342413406877,124.594812099883,155.380146927413
2007.5,149.03805921735,135.065291739958,164.279239237359
2006.5,159.348135437204,145.490498505251,174.192186906754
2005.5,170.188324633883,156.173882653046,185.348089089955
2004.5,181.546871350176,167.09927598522,197.322280471815
2003.5,193.130374953245,177.958841851159,209.689374792899
2002.5,204.464218534621,188.600214380678,222.188113348097
2001.5,215.192688061009,198.871245481981,233.334984872461
2000.5,224.903744072135,208.49402072343,242.89788029682
1999.5,234.226681172346,217.530603534672,252.334041539379
1998.5,243.858844290663,226.841981347888,262.107910545014
1997.5,254.239933021926,236.79377879564,272.740172421007
1996.5,265.959672294623,248.133258204069,284.794425408334
1995.5,278.932656578392,260.588223076326,298.430276818456
1994.5,292.047230194224,272.92468177129,312.478846642909
1993.5,304.023481110001,284.366033154173,325.513303477554
1992.5,314.377268081437,294.379646270236,336.161767839964
1991.5,322.956465581524,302.422601250889,344.874458526755
1990.5,329.580782464803,308.883505944436,351.993641812329
1989.5,334.485511002195,313.179387337411,357.425323833259
1988.5,337.83579228309,316.264149852341,361.233553852612
1987.5,339.19914114583,317.285503016269,363.047110996674
1986.5,338.407506654281,316.362583527045,362.657206454552
1985.5,335.591731689166,313.3791723975,359.273482725245
1984.5,331.323846337571,308.818549420745,355.117564906967
1983.5,326.79760539521,303.912544860075,350.546894631247
1982.5,323.025243295089,299.870893008543,347.313025602439
1981.5,321.25855505365,297.547533000612,346.014926532318
1980.5,321.806872520398,297.596574740057,347.562501754269
1979.5,324.227844685113,299.431542560933,351.477044135997
1978.5,328.555751569167,302.67159057659,356.499018527592
1977.5,333.19538967225,306.264267977471,361.97954292752
1976.5,337.340831056453,309.311341987153,367.321267883824
1975.5,339.91959721786,311.100589071844,371.392228851353
1974.5,340.971667833889,311.222417704249,374.076485911205
1973.5,339.956288076124,309.474220951071,374.500965318077
1972.5,337.380678447826,306.016812611577,373.615955196958
1971.5,333.901819893678,300.250860420574,371.148659696046
1970.5,329.687683477094,294.060413395658,369.286168581401
1969.5,324.984691693807,286.906909162272,368.82209256287
1968.5,321.039706379891,278.180149000529,370.325008682245
1967.5,316.945239283413,267.739027750271,375.144176734497
