Year,Estimate,Lower bound,Upper bound
2020.5,72.2079559881189,57.6930093722682,89.6756487983957
2019.5,74.6701821385679,61.5798507974511,89.8334743153112
2018.5,77.3288869082196,65.5913652965714,90.8129057225108
2017.5,80.6463235090081,70.1128540106694,92.5676657036547
2016.5,84.1814584485896,74.4015082372654,94.9361937379465
2015.5,87.9746798419839,78.6904256593609,97.9639202713293
2014.5,92.3690448041175,83.1478234114839,102.155975176978
2013.5,96.737851335077,87.4244368335048,106.344477179464
2012.5,101.346253794145,91.8791122695317,111.190313797879
2011.5,105.801387052955,96.2305318565563,115.801265521834
2010.5,110.056236897747,100.362240431317,120.19806690829
2009.5,114.305618781579,104.5092670484,124.74357921833
2008.5,117.62308639789,107.687896120195,128.146423524099
2007.5,121.027116868629,111.159812976793,131.757719191432
2006.5,124.21702566783,114.278080160795,135.107045145436
2005.5,127.503422582065,117.504913522495,138.483050605637
2004.5,130.602490312955,120.521656660236,141.581985899931
2003.5,133.996973531357,123.887481077915,145.020160433328
2002.5,137.533381591106,127.29602745959,148.345288416861
2001.5,140.901123134935,130.695568502315,151.805670213101
2000.5,143.930199507145,133.664969072888,154.908375919439
1999.5,146.289514402128,135.696671391048,157.480950258032
1998.5,147.776571158997,137.192750691982,159.214923845104
1997.5,148.13909605294,137.851310748779,159.225238698709
1996.5,147.61086040367,137.606926833802,158.560450028659
1995.5,146.448547490401,136.682759046929,157.173452249163
1994.5,144.755117475551,135.114075196223,155.38932104423
1993.5,142.519071468485,133.061656399396,152.887674615728
1992.5,140.007460949702,130.816445867297,150.119013207216
1991.5,137.79830464556,128.563689533899,147.813443035029
1990.5,136.291098690306,126.995486817065,146.452858515794
1989.5,135.943032868371,126.448914477758,146.184928097787
1988.5,137.080207639901,127.244196600656,147.673543608832
1987.5,139.661620165305,129.658524282888,150.442498264651
1986.5,143.635842394197,133.255497772005,154.62362644324
1985.5,148.800582877595,138.015000728269,160.320890410493
1984.5,154.848460509112,143.548368906776,167.3784268375
1983.5,161.303370319253,149.24449652869,174.843319777692
1982.5,167.713186967009,154.928041240957,182.414530167119
1981.5,173.893276892576,160.142312576146,189.424122863225
1980.5,179.147927012975,164.82933850683,195.350483611559
1979.5,183.454466050876,168.70727469918,200.171484901408
1978.5,186.516165549959,171.621390267605,203.502039278333
1977.5,188.516943966475,173.658471007255,205.517370210775
1976.5,189.894112692628,174.923602363153,206.745687582694
1975.5,190.952056860812,175.519417168783,208.02478386145
1974.5,192.312461769761,176.167314304857,210.047844040935
1973.5,194.797912090528,177.849180059661,213.355125178963
1972.5,198.901431424083,181.368739890636,218.219762274706
1971.5,204.660609987763,186.386004897498,224.776190312837
1970.5,211.98963661114,193.293774597722,232.688867866696
1969.5,220.423311766124,200.880923692747,241.989473515251
1968.5,229.25953036659,208.673993907473,252.220928748095
1967.5,237.838204152573,216.298765632955,262.455221908981
1966.5,245.834916785699,222.514921707916,272.128085283816
1965.5,252.566696704632,227.984041540296,280.229714075502
1964.5,258.00843795634,231.928288296943,287.179685644245
1963.5,262.664602778049,235.371018062849,293.570541199877
1962.5,267.183883535744,238.319188943518,299.92679365213
1961.5,272.161537766779,241.391988689878,306.874164638701
1960.5,278.391156747387,245.572292425249,314.668712835935
1959.5,286.035271333986,251.418364272548,324.443336621525
1958.5,294.819689864075,258.143548380376,336.088891837094
1957.5,304.457841254088,265.453273346825,348.833783502241
1956.5,315.450866706936,273.671151455757,363.831514195775
1955.5,326.882331835302,281.337164581997,380.356859872111
1954.5,338.79543288763,287.292539663427,400.487036610544
1953.5,351.487268962767,290.727255968183,425.911645671407
