Year,Estimate,Lower bound,Upper bound
2020.5,59.5805983538792,28.9146556392723,115.380365401168
2019.5,61.4851062137917,31.844978818141,112.493211271129
2018.5,61.5623425132618,33.8556184728767,106.307448019577
2017.5,60.1532812671841,34.9780437496483,98.8727372719787
2016.5,60.3498508882923,37.1707583428665,93.7644969471395
2015.5,60.6757049974388,39.3579300806796,89.7623931464603
2014.5,58.6876334632797,40.1096915043063,82.7450584663481
2013.5,58.3886150734858,41.8030343898777,78.8975318664782
2012.5,58.7756879963619,43.9973813111886,76.2407954743219
2011.5,58.5415673059642,45.7761203229076,73.375973762198
2010.5,58.791030379765,47.820886672182,71.2819588526515
2009.5,60.0899874916542,50.344052029998,70.7615537499767
2008.5,62.4095454307179,53.8096209080392,71.8742785675204
2007.5,65.5684186411637,57.7794384444407,74.1697214861455
2006.5,69.1453839695692,61.8551745357927,77.2142693363921
2005.5,72.9659941025647,65.8916480054126,80.6243676309209
2004.5,76.9328237124666,69.996844887628,84.4175525105805
2003.5,81.179855488479,74.2867949968471,88.6580736324885
2002.5,85.6544561670043,78.6447140125853,93.1062156960298
2001.5,90.2631196994243,83.1093194979429,97.963848204395
2000.5,94.9674846998458,87.5525164797637,102.942437901181
1999.5,99.392572640073,91.69548466768,107.685229334791
1998.5,103.438775246917,95.4199103646723,111.850517745705
1997.5,106.841337019405,98.8853886559737,115.191058780716
1996.5,109.597147807001,101.8414772867,117.820039692282
1995.5,111.934709538844,104.383510928025,119.946137426833
1994.5,114.208323432667,106.751597470325,122.130159793858
1993.5,116.733967712208,109.23028274196,124.628378298532
1992.5,119.568498843973,111.914703128616,127.659759085626
1991.5,122.789687759386,115.006003707881,131.017559585044
1990.5,126.394990289503,118.434643209633,134.727600724659
1989.5,130.507219910572,122.334479257184,139.194682128516
1988.5,135.331837687621,126.727988191577,144.305182659968
1987.5,140.822039083477,131.865592920077,150.355261870561
1986.5,147.17881167957,137.857696970195,157.20955646283
1985.5,154.615478493446,144.68594113151,165.453914792438
1984.5,163.322868399053,152.726381333997,174.831760773428
1983.5,173.434836803514,162.103407835531,185.66365265071
1982.5,184.658886878698,172.353724591177,197.808987965025
1981.5,196.663198512457,183.253814310147,210.596660736401
1980.5,209.136709047617,194.91696923759,224.265410435765
1979.5,222.037878950763,206.833063719483,238.407272250652
1978.5,234.993850335485,218.825729685223,252.517433056182
1977.5,247.828915541009,230.564616300967,266.687722544993
1976.5,260.345521918046,242.137117365795,280.422763930213
1975.5,272.46912527017,252.961217528741,293.794030011059
1974.5,284.156645040901,263.368518022855,306.931038859616
1973.5,295.593838457185,273.375923794148,319.647574805776
1972.5,306.708902335318,283.001138436145,332.207913139632
1971.5,318.470248364625,293.304066501441,345.546740887059
1970.5,330.760210021553,304.065020435766,359.348093505911
1969.5,343.233671613341,314.79023828245,374.03949371375
1968.5,356.03110316833,325.449951752689,388.677104120813
1967.5,368.233860859183,335.418683641131,403.593383071738
1966.5,379.713395637375,344.234171036827,418.136049651331
1965.5,390.169182783622,351.960833738973,431.711158835668
1964.5,399.598497702259,358.246230907831,445.147480157068
1963.5,407.843589028036,363.179412825384,457.833739690825
1962.5,415.514954395794,366.997156412426,469.598299994486
1961.5,422.671413625648,369.646053487397,482.292793806499
1960.5,429.740731709683,371.509788685253,496.116327211477
1959.5,436.591666281045,371.945696543926,511.045792437174
1958.5,443.44572887104,371.009180635912,528.66235816344
1957.5,450.98294456195,367.902352075542,548.968432255205
