"country"	"prefecture"	"city"	"pop.size"	"lat"	"lon"	"W1"	"W2"	"W3"	"W4"	"W5"	"W6"	"W7"	"W8"	"W9"	"W10"	"W11"	"W12"	"W13"	"W14"	"W15"	"W16"	"W17"	"W18"	"W19"	"W20"	"W21"	"W22"	"W23"	"W24"	"W25"	"W26"	"W27"	"W28"	"W29"	"W30"	"W31"	"W32"	"W33"	"W34"	"W35"	"W36"	"W37"	"W38"	"W39"	"W40"	"W41"	"W42"	"W43"	"W44"	"W45"	"W46"	"W47"	"W48"	"W49"	"W50"	"W51"	"W52"	"W53"	"W54"	"W55"	"W56"	"W57"	"W58"	"W59"	"W60"	"W61"	"W62"	"W63"	"W64"	"W65"	"W66"	"W67"	"W68"	"W69"	"W70"	"W71"	"W72"	"W73"	"W74"
"GUINEA"	"Beyla"	"Beyla"	359.8102902	8.683333	-8.633333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	4	4	2	17	7	3	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Boffa"	"Boffa"	233.3236225	10.1808254	-14.0391615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	10	4	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	1	0	4	3	1	2	3	0	2	0	1	0	1	0	0	0	0	0
"GUINEA"	"Boke"	"Boke"	496.8033362	10.933333	-14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1
"GUINEA"	"Conakry"	"Conakry"	1843.772098	9.509167	-13.712222	0	0	0	0	0	0	0	0	0	1	1	0	11	10	8	9	2	1	0	1	2	4	7	4	0	5	1	0	0	18	1	3	5	13	12	3	14	12	34	17	8	17	7	11	19	3	7	15	19	22	27	21	24	14	4	8	6	23	12	7	16	13	27	10	19	8	6	2	0	0	0	0	0	0
"GUINEA"	"Coyah"	"Coyah"	292.0251366	9.7	-13.383333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	2	2	26	7	5	2	9	6	11	17	15	19	16	11	4	8	2	1	1	1	2	8	7	5	21	7	7	1	3	1	0	0	0	0	0	0
"GUINEA"	"Dabola"	"Dabola"	202.2466754	10.75	-11.116667	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Dalaba"	"Dalaba"	150.6975463	10.691667	-12.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Dinguiraye"	"Dinguiraye"	216.298293	11.3	-10.716667	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Dubreka"	"Dubreka"	363.0559475	9.783333	-13.516667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	14	1	0	0	0	0	0	0	0	1	0	0	6	3	5	6	3	20	14	5	5	0	1	7	11	1	3	5	2	0	3	1	0	0	1	0	1	16	3	4
"GUINEA"	"Faranah"	"Faranah"	310.0962398	10.033333	-10.733333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	10	30	4	2	2	0	2	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Forecariah"	"Forecariah"	270.4519073	9.433333	-13.083333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	1	2	0	1	0	3	2	3	0	2	3	5	10	8	3	4	21	1	28	18	31	28	17	23	31	37	28	19	6	20	13	17	9	6	11	5	7
"GUINEA"	"Fria"	"Fria"	106.7076148	10.3674543	-13.5841871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	2	0	0	0	0	1
"GUINEA"	"Gaoual"	"Gaoual"	214.7318433	11.75	-13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Gueckedou"	"Gueckedou"	322.6013061	8.566667	-10.133333	2	0	0	5	3	5	2	3	7	3	19	14	9	12	19	7	8	10	11	6	9	14	7	25	15	17	3	5	7	19	16	12	7	5	18	15	6	8	3	2	2	2	2	1	4	0	1	1	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Kankan"	"Kankan"	521.9052228	10.383333	-9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	4	5	7	3	1	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Kerouane"	"Kerouane"	233.2727709	9.266667	-9.016667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	4	11	0	1	3	16	20	22	11	28	15	6	0	3	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Kindia"	"Kindia"	484.543684	10.066667	-12.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	1	1	5	6	8	11	4	10	4	18	16	6	0	0	1	1	3	0	1	0	3	3	0	0	4	1	0	1	0	0	0	0	0
"GUINEA"	"Kissidougou"	"Kissidougou"	313.520983	9.183333	-10.1	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	7	0	5	1	75	12	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Koubia"	"Koubia"	111.8414133	11.583333	-11.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Koundara"	"Koundara"	143.9376028	12.483333	-13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Kouroussa"	"Kouroussa"	296.5133411	10.65	-9.883333	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	8	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Labe"	"Labe"	352.2389324	11.316667	-12.283333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Lelouma"	"Petel"	179.7868599	11.43259	-12.68164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Lola"	"Lola"	193.6925556	7.8	-8.533333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	8	2	6	2	1	2	9	7	3	2	9	10	10	0	2	4	15	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Macenta"	"Macenta"	329.741531	8.55	-9.466667	0	0	0	0	0	0	1	2	2	2	4	1	4	2	0	0	0	0	0	0	8	10	1	0	0	0	0	0	0	2	2	3	19	48	42	72	39	55	67	55	45	34	26	44	30	16	29	25	32	2	16	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Mali"	"Mali"	320.9397861	12.083333	-12.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Mamou"	"Mamou"	352.3550067	10.383333	-12.083333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Nzerekore"	"Nzerekore"	437.8962048	7.75	-8.816667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	6	0	1	3	17	2	14	15	26	24	16	12	25	23	28	5	5	7	9	3	3	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Pita"	"Pita"	306.2801605	11.059568	-12.395582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Siguiri"	"Siguiri"	768.7973729	11.416667	-9.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	1	0	1	2	1	4	3	4	1	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"GUINEA"	"Telimele"	"Telimele"	313.5541471	10.9	-13.033333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	16	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Tougue"	"Tougue"	135.9273738	11.440762	-11.663189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GUINEA"	"Yomou"	"Yomou"	195.2965912	7.566	-9.2533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Bomi"	"Tubmanburg"	103.89638	6.866667	-10.816667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	17	21	9	16	8	12	22	7	20	8	4	6	6	3	3	13	2	0	3	2	1	0	0	1	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Bong"	"Gbarnga"	411.8863599	7	-9.473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	0	2	11	14	8	15	13	20	18	16	5	1	4	6	5	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Gbarpolu"	"Bopulu"	102.9935132	7.065012	-10.490484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	4	1	0	1	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Grand Bassa"	"Buchanan"	273.815668	5.880833	-10.046667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	6	7	8	12	6	12	8	5	4	4	1	2	3	9	3	1	7	8	2	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Grand Cape Mount"	"Robertsport"	156.953083	6.75	-11.366667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	3	9	5	9	4	10	6	3	6	5	26	8	22	4	4	0	2	1	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Grand Gedeh"	"Zwedru"	154.7076495	6.066667	-8.133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Grand Kru"	"Barclayville"	71.52903692	4.676354	-8.2339446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	8	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Lofa"	"Foya"	341.9567929	8.3599972	-10.2067501	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	1	1	0	0	0	2	12	22	14	15	9	6	33	33	48	76	75	44	25	14	18	4	5	6	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Margibi"	"Kakata"	259.2784007	6.53	-10.351667	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	4	13	41	29	99	57	86	86	103	91	71	33	37	21	12	11	6	11	7	0	0	0	1	0	0	2	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Maryland"	"Harper"	167.8986449	4.3759676	-7.7009416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Montserrado"	"Monrovia"	1381.152794	6.313333	-10.801389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	5	5	11	8	18	18	25	29	89	116	169	204	252	290	259	248	150	191	120	77	82	52	51	35	48	33	23	10	24	6	3	12	4	6	3	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Nimba"	"Ganta"	570.6538223	7.2375	-8.981389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	2	0	5	9	32	15	21	19	26	29	21	15	15	11	2	7	4	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"River Gee"	"Fish Town"	82.49189037	5.200699	-7.878112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	0	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Rivercess"	"River Cess Town"	88.32161866	5.4614114	-9.5756934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	0	1	0	0	1	0	0	1	0	0	1	1	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIBERIA"	"Sinoe"	"Greenville"	126.4643451	5.016667	-9.033333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	6	3	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SIERRA LEONE"	"Bo"	"Bo"	567.5585033	7.9551791	-11.7409946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	4	5	8	12	7	13	36	9	16	3	28	20	17	30	18	17	23	22	20	11	23	32	4	17	9	7	6	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"SIERRA LEONE"	"Bombali"	"Makeni"	499.8947893	8.881667	-12.044167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5	1	2	1	11	24	32	45	84	81	81	55	65	73	68	61	42	63	69	41	19	19	20	11	15	6	7	6	2	3	22	10	13	4	2	1	0	0	0	0	0	0	0	0	0
