region,urban_prop
Kayes,0.139679928
Koulikoro,0.054695332
Sikasso,0.163518872
Ségou,0.085730573
Mopti,0.097975208
Tombouctou,0.128091133
Gao,0.209921004
Kidal,0.383368517
Bamako,1
