region,urban_prop
Bomi,0.172
Bong,0.388
Gbapolu,0.149
GrandBassa,0.321
Grand Cape Mount,0.073
GrandGedeh,0.416
GrandKru,0.053
Lofa,0.359
Margibi,0.497
Maryland,0.457
Montserrado,0.943
Nimba,0.599
River Gee,0.302
River Cess,0.032
Sinoe,0.131
