region,urban_prop
Manicaland,0.158424074
Mashonaland Central,0.056515777
Mashonaland East,0.136928735
Mashonaland West,0.251630013
Matabeleland North,0.092854454
Matabeleland South,0.12572125
Midlands,0.266338851
Masvingo,0.093053522
Harare,0.946385443
Bulawayo,1
