region,urban_prop
Barishal,0.158830945
Chattogram,0.24660226
Dhaka,0.381432896
Khulna,0.174583158
Mymensingh,0.141123763
Rajshahi,0.168674699
Rangpur,0.124413967
Sylhet,0.152926898
