region,urban_prop
Western,0.394067797
Central,0.428103645
Greater Accra,0.897770339
Volta,0.309896987
Eastern,0.40761732
Ashanti,0.580336085
Brong Ahafo,0.425165035
Northern,0.284098415
Upper East,0.197133003
Upper West,0.170101713
