Admin1,frac
Dakar,0.972
Diourbel,0.164
Fatick,0.182
Kaffrine,0.168
Kaolack,0.421
Kédougou,0.282
Kolda,0.319
Louga,0.226
Matam,0.207
Saint-Louis,0.464
Sédhiou,0.21
Tambacounda,0.303
Thiès,0.546
Ziguinchor,0.456
