region,urban_prop
Tigray,0.187406789
Affar,0.150194958
Amhara,0.117976833
Oromiya,0.118499488
Somali,0.135750534
Benishangul-Gumuz,0.124254607
SNNP,0.087526585
Gambela,0.26586736
Harari,0.528550854
Addis Ababa,1
Dire Dawa,0.636435819
