region,urban_prop
Kampala,1
South Central,0.319735217
North Central,0.225115497
Busoga,0.141507587
Bukedi,0.121802434
Bugisu,0.151900979
Teso,0.085511133
Karamoja,0.116026379
Lango,0.089706854
Acholi,0.181016075
West Nile,0.098943965
Bunyoro,0.149601608
Tooro,0.160032131
Ankole,0.202300585
Kigezi,0.125905631
