Admin1,frac
Butha-Buthe,0.295
Leribe,0.279
Berea,0.091
Maseru,0.652
Mafeteng,0.221
Mohale's Hoek,0.24
Quthing,0.235
Qacha's Nek,0.212
Mokhotlong,0.128
Thaba-Tseka,0.112
