Year,Estimate,Lower bound,Upper bound
2020.5,90.9904059353424,70.4425514439204,116.576578851809
2019.5,94.1764716721495,75.2894649010188,116.744622172767
2018.5,97.4285626313949,80.1422176010764,117.435414821801
2017.5,100.887912803729,85.0781979708867,119.041581512741
2016.5,104.474724555171,89.8169896628107,121.175712466904
2015.5,108.314587217846,94.6834084775222,123.647668600552
2014.5,112.386410522291,99.5165230472529,126.389060243296
2013.5,116.605170311849,104.620289169529,129.610858490889
2012.5,120.991461784195,109.717223539973,133.421023782425
2011.5,125.562495886937,114.759145503698,137.264626958882
2010.5,130.277051574328,119.823450445987,141.474304637459
2009.5,135.131979538732,124.970482017644,146.100304966217
2008.5,140.210326694868,130.01689284137,151.027082790949
2007.5,145.366981042128,135.214163738217,156.17989127233
2006.5,150.792767505742,140.542933492357,161.52878374628
2005.5,156.368776281017,146.189700816527,167.113531229227
2004.5,162.185137236002,151.958488274657,173.082443650355
2003.5,168.346827661353,157.902416309872,179.433848788163
2002.5,174.674764729095,164.052534193108,186.09674560664
2001.5,181.074417197779,170.070087187004,192.94425911182
2000.5,187.423263172714,175.935826393785,199.74963629852
1999.5,193.415503754472,181.449965390288,206.238158415269
1998.5,198.981743114943,186.692170339264,211.935226659845
1997.5,203.844746426466,191.418315655375,216.846488447376
1996.5,208.101643459674,195.6230275218,221.278951129928
1995.5,211.794059896901,199.389020499995,225.016428524799
1994.5,215.3044047556,202.814977842798,228.427836500108
1993.5,218.75370537149,206.128515039319,231.887564773434
1992.5,222.30707795554,209.548601590608,235.780289143015
1991.5,226.247563183498,213.214048119428,240.044952414728
1990.5,230.706205542483,217.35507750596,244.710569449143
1989.5,235.676595069742,222.042625419676,250.26624054793
1988.5,241.27401825424,227.429379432412,256.428012895392
1987.5,247.419001508494,232.977342479937,262.875906133191
1986.5,254.092720396824,238.945475053936,270.227811056294
1985.5,261.232308300948,245.569169649103,278.118192883635
1984.5,268.795243949804,252.470193190028,286.093573059375
1983.5,276.840341599097,259.757824149874,294.941188906201
1982.5,285.04995233114,266.99864797956,304.170333389397
1981.5,293.222888925509,274.36774242701,313.462428781237
1980.5,301.464635015212,281.984347983993,322.867119126653
1979.5,309.824422507089,289.333921905634,332.300543771154
1978.5,318.249564129846,296.900095843986,341.918345311606
1977.5,326.734377274573,304.39970481256,351.805700309349
1976.5,335.410559301686,311.682536292315,361.862493237477
1975.5,343.892035949181,318.753423201782,371.490534419779
1974.5,351.974797343362,325.50831812574,381.081988103983
1973.5,359.414486344664,331.675152407852,390.088737253661
1972.5,366.159515746004,337.241057147441,398.13475671361
1971.5,372.779909214486,342.185094910638,406.380717078403
1970.5,378.961101831199,346.060367029713,414.626183244282
1969.5,384.689595861386,349.474708073411,422.58158916069
1968.5,390.910173053403,352.6506787235,431.401064865564
1967.5,397.087180572395,355.770421394818,441.768626772822
1966.5,403.623423866348,358.78057457631,452.778284667654
1965.5,410.224567429979,360.687602956002,465.555916202388
1964.5,417.639210796243,361.894423080722,479.233563514255
1963.5,424.977957838541,363.103467984167,495.529673979437
