"Country.Name","ISO.Code","Quantile","Indicator","Subgroup","X1931.5","X1932.5","X1933.5","X1934.5","X1935.5","X1936.5","X1937.5","X1938.5","X1939.5","X1940.5","X1941.5","X1942.5","X1943.5","X1944.5","X1945.5","X1946.5","X1947.5","X1948.5","X1949.5","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5","X2020.5","X2021.5","X2022.5","X2023.5","X2024.5","X2025.5","X2026.5","X2027.5","X2028.5","X2029.5","X2030.5"
"Afghanistan","AFG","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,298.001062973486,300.486234275244,301.786555507717,301.906851015746,301.44328710285,299.203043958125,296.748614151714,293.409518245104,289.142608551924,285.286756106685,280.77044501707,275.972333339935,271.409885199584,266.584139629632,262.062228721638,257.95037538955,253.311216391974,248.532987006549,243.359213095947,238.329668540166,233.734789888631,228.473633366483,223.557613203785,218.130896877336,212.758630673562,207.466220325283,201.953928314862,196.610122243291,190.81934863453,185.227176577529,179.666337198555,174.121909165077,168.718616185462,163.287659142664,157.807262059802,152.860089855681,148.009448745648,143.330982112336,138.998664526773,135.038558058551,131.075213233589,127.314719739949,123.698108981292,120.043740225531,116.404465698639,112.540567429706,108.575659761455,104.616098942214,100.714814068003,96.7102319931266,92.6585112648135,88.5430329076837,84.4296193014672,80.3465525180059,76.2890792933416,72.1253177836546,68.1520108975188,64.1287597665005,60.3812964781007,56.7891169104386,53.3122742214709,49.9857387527667,46.7451591003177,43.8112662776848,40.8300768429803,38.1943393170109,35.6777492179047,33.172965145508,30.9733678896797,28.9083749251577,27.0712658130063,25.4078409191988,23.7333997189384,22.0730709634638
"Afghanistan","AFG","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,375.905351523724,369.628429703634,363.437469152852,357.300610459935,351.658277363391,345.839869410521,340.159348981411,334.847786186917,329.420930370246,323.937731649984,318.366052853473,312.825143368612,307.243064408674,301.852909818326,296.403728119612,290.736172996803,285.227564161677,279.582323903104,274.002255376543,268.256692599532,262.387737067817,256.393887769688,250.275626353072,243.841356866161,237.308499985544,230.804503366284,224.202803862896,217.706166889601,211.097539164177,204.562226428215,197.942907816887,191.395177934805,184.861260504711,178.450995919683,172.22792371423,166.346123856533,160.775117545033,155.507921953886,150.589349102016,145.990100426462,141.573625210069,137.348107958513,133.301469285834,129.338891100871,125.305193941476,121.188462196255,117.025458189247,112.791896484904,108.55847332286,104.273579545267,100.03726673058,95.8659538473063,91.7899147995094,87.7854288558896,83.9638739760779,80.2696729243769,76.7711913894676,73.3774315374325,70.1722630306796,67.2483063602288,64.5819275273145,62.1717743819472,59.9173276414674,57.7978112299547,55.6574829074136,53.753173828396,51.9366927392247,50.0870269102959,48.4903397421777,46.8001396721681,45.2518717738697,43.7902695108237,42.3635603561614,41.0912377413743
"Afghanistan","AFG","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,466.921468099168,450.551504132122,436.318503657554,422.586820412171,410.497160053872,399.369745971365,389.973547259157,381.628512225943,374.019404614553,367.065237274919,360.787851983956,354.476260483682,348.391617284417,342.764912580613,337.291030407189,331.29217849985,324.782598152632,318.461487962815,312.05262438479,305.015501928244,297.817001415973,289.790382480522,282.184711609573,274.648209572302,267.058278021979,259.669121915023,252.039979770837,244.058532335546,235.916401852358,227.232831513315,218.89652463662,210.639199930944,202.588856130261,194.811109694902,187.386763338968,180.671148375632,174.234842557813,168.32535864722,162.642657766622,157.540468716576,152.767964455438,148.114847650283,143.64367233768,139.48753154187,135.339755716646,130.913775906108,126.244654515511,121.561830790067,116.997297204551,112.434384757102,107.975916038987,103.597752800633,99.5457235688581,95.7133092119584,92.20485842415,88.9068948598438,85.8029732866543,83.0005567830125,80.5523013782,78.442943643858,76.594735061924,75.428458498199,74.7772189980845,74.3055577856754,74.2355739625073,74.1652286100842,74.2181073310982,74.5962088998107,74.808005276824,75.339550943271,75.6167668205382,76.0052965468696,76.4611728584994,76.8099623577546
"Albania","ALB","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3728592306878,61.470704923114,59.4151060861302,57.147351113277,54.7313078751265,52.1108419944368,49.7228174956457,47.1784571093591,44.6691713470936,42.1914749786015,40.0028236567771,38.0531091313308,36.3235825184022,34.8501380833657,33.6135855595636,32.4028011919319,31.2906987093972,30.1682062679979,29.0715676124181,27.9356411933924,26.8451786446859,25.748829902318,24.6811015878507,23.6312973828231,22.5701367137899,21.5177860260548,20.4149661016801,19.2132412577153,17.9160620833805,16.5915880573681,15.3016834960645,14.0541863316965,12.8608400745526,11.7708906007453,10.828501812981,10.096294506976,9.56177456086782,9.22077600884167,9.03992078384352,8.96827344852321,8.96437717998652,8.9428435588476,8.86764539797616,8.72479451688121,8.4951123892544,8.17701546476498,7.7751164304267,7.35286190834982,6.91460417536324,6.4773457150943,6.07388401459103,5.67445073673312,5.29242267751498
"Albania","ALB","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3632932758187,88.6521731922496,81.3220916565785,74.7863060662736,69.0288199175613,63.7026555966698,58.906234641447,54.7510730112219,51.089770137604,47.9032356073052,45.1556618905448,42.7980913956985,40.8317040270463,39.1433368245296,37.6286490358554,36.2895706385737,35.0306704509852,33.8021101105437,32.5326654456016,31.2158728835119,29.8944761769299,28.549936974096,27.1810555498744,25.799518907828,24.3801014713967,22.9306707666049,21.4598704536497,19.9822586704275,18.5210798870378,17.1029899751023,15.7632597889143,14.4925898598801,13.2883012487157,12.1718886928144,11.2139584545975,10.4633931032396,9.92158555427236,9.57713848780611,9.39967671489784,9.33670930904257,9.34390547357394,9.38810431242125,9.43610722550196,9.45591929580101,9.43863724312982,9.36070758388926,9.22783251033204,9.05296695876208,8.84993947800644,8.63837963097318,8.4057514805089,8.18098005246008,7.93938759571203
"Albania","ALB","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.010162263035,124.473653472444,109.625862003192,96.9604445298608,86.3236890009602,77.3876151316629,69.7527915412479,63.6334908019721,58.6674731774252,54.4876947902931,51.0122060382874,48.2431490541042,45.9945768170574,44.0085785135603,42.2494347717829,40.7279222662879,39.305310215526,37.8902569254397,36.4342387795347,34.9641630259614,33.3484292105611,31.6286700212199,29.9111363069082,28.1154711230991,26.2689619044962,24.3846492474373,22.5445620652472,20.7705442174753,19.1289652438033,17.630477831215,16.2343478534748,14.9351378305524,13.706554565396,12.5741604771558,11.6130481308433,10.8479855552902,10.289834710926,9.93654593557698,9.76024899566546,9.71319468629247,9.7482820620628,9.85564826349446,10.0261422815474,10.2466415661553,10.4917353649521,10.7207153046477,10.9330747210048,11.1294427995091,11.2907449966575,11.5276328707269,11.7323862985153,11.8231385025286,11.9050632838082
"Algeria","DZA","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,182.990577390238,190.152887414095,195.895929377858,200.421286471366,204.738972476143,207.771270145564,209.409147328773,211.269732048957,212.023072078481,213.222974759352,213.932200234367,215.313147732159,216.063462229726,216.584549090128,216.657653715913,215.44068125845,212.877354740127,209.239752333643,204.982888170849,199.773383589979,193.973970401411,187.658964353524,180.732277733663,173.50692678947,165.744629447028,156.738411366776,145.836065390606,132.317335076196,116.248145266051,99.8285502680604,85.0360070336901,72.8137129853655,63.3494106844168,56.7629010817092,52.3856089744346,49.6126305331657,47.9827108064346,46.9748152147914,46.4414710391541,45.8761308903297,45.2725824949188,44.5798667476049,43.7501833841733,42.8374795276536,41.7573144197362,40.5448547399711,39.2501068646689,37.8603595556018,36.3826099314806,34.8669515212262,33.3506766664516,31.9306022459749,30.5615419698872,29.3655905909005,28.2989406276386,27.4091020814443,26.7255129785823,26.1786989394099,25.8083459995371,25.4965078664804,25.1178947419751,24.6463915718431,24.0712766846484,23.4085753169063,22.6345511765722,21.7324057636269,20.7325665297204,19.7121805527951,18.6214849202802,17.5165158449908,16.4168484274564,15.3472985341074,14.2651688896096,13.2398811828206,12.3156333934527,11.4774907135888,10.6694219791583
"Algeria","DZA","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,244.493597175597,243.802401709217,242.839053938603,242.325024094276,241.549675083017,241.142443238959,240.75676329947,240.832256355741,241.442228639518,242.281681747804,243.357927221312,244.296878948524,244.98273513255,245.288274238984,244.641288259215,242.607011625722,239.16754864749,234.145480696173,228.028977926079,220.751907708695,212.634754310403,203.658772602301,194.078057474215,184.332920985093,173.810064412544,162.506490291184,149.867515193686,135.336477556798,118.959160545402,102.317191901548,87.2237708904407,74.6976197880668,65.2900848984503,59.064189349037,55.2652460075564,53.0743046522656,51.8901266143052,51.2663433214793,50.7505469925777,50.1630630398652,49.4391937192602,48.4540354926925,47.2869030288692,46.010914796558,44.6583574287632,43.2178678090018,41.6879368493385,40.096044245804,38.4874459064617,36.8666807478286,35.295784515968,33.7757166314341,32.3387169552941,30.9782132615346,29.7689385478994,28.7128361851329,27.8091171300523,27.0765858378609,26.4942171096012,26.0502652723539,25.6680677684437,25.304609110731,24.9241160398882,24.483148157209,23.9793809457018,23.4514857203917,22.8973090021918,22.3352879879139,21.7478359310421,21.1576022723574,20.5258983356671,19.8940344128443,19.2809363944236,18.7175477560585,18.1217280166861,17.5181840127823,16.9840734250264
"Algeria","DZA","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,321.314229067221,308.879304532392,297.805498813996,289.741936165782,283.679245049748,279.715322433131,277.578052273502,276.947156214222,277.283529863265,278.116054986055,279.013726315152,279.333086709645,279.546036149243,278.813312175625,277.330627425465,273.661701245356,268.307369419806,261.458055596146,253.011012202988,243.298353604059,232.630741612048,220.890169652904,208.578417558301,195.765495926653,182.336289563417,168.544566564134,154.037992565305,138.491084112458,121.683023510212,104.879005142097,89.425947381714,76.5814190474949,67.2350855371277,61.393193419227,58.1193673681504,56.4887296394562,55.7865358636854,55.5728475155935,55.271979428503,54.6808069697595,53.7991922987721,52.5607144011281,51.1221674264978,49.4866939679406,47.76050731441,46.017148182509,44.2708678889887,42.5106070188032,40.7739010876705,39.0007932939435,37.3234120864537,35.7080715264882,34.1802901643176,32.6967125509832,31.3433933118172,30.0909327324503,28.9463335825087,27.9819510042606,27.2081317241836,26.6181597135299,26.2328872352494,25.9803790334677,25.8029074942269,25.6112319489777,25.4359277278307,25.3571685292855,25.3666809724069,25.3723015673097,25.4256573447083,25.5998793112976,25.7589369119013,25.9454417237756,26.1755262518365,26.4668428609446,26.656831487605,26.9205282566436,27.0437426504336
"Andorra","AND","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68842465232572,2.80441059479331,2.92609171536016,3.00400617371408,3.1262932829358,3.22335252974261,3.31753044416855,3.38384241806581,3.47232268496378,3.58759730670393,3.65089263747962,3.69565895895217,3.70978696668603,3.76286578015658,3.76453959641618,3.74772886607375,3.69583525411708,3.61844869454996,3.52028186226627,3.40183043106379,3.26144652903718,3.0735574628282,2.85951932016727,2.63674769391397,2.4113819588041,2.188003696312,1.94683606249885,1.74236513520182,1.54427995935838,1.36297841213206,1.19733818055236,1.07035632521714,0.966477029879122,0.884231277275105,0.831673545997902,0.783546569482218,0.73234665002383,0.692771920740969,0.658028620349939,0.626348051422351,0.593234206498497,0.56526465428108,0.53583991920574,0.50987930801898,0.480734379695497,0.456808170727541
