Year,Estimate,Lower bound,Upper bound
2020.5,70.7103576023615,33.8585122629749,144.024683655443
2019.5,73.0097284002772,36.128548242764,143.734534528723
2018.5,75.5156568118429,38.4862692862117,143.743439291664
2017.5,77.6978812763472,40.9412957339039,143.755363081628
2016.5,80.1180879631595,43.9726331510816,144.101556037182
2015.5,82.6776840608216,46.6050732033098,144.586445009473
2014.5,85.0677040714644,49.9248232816698,143.566844298872
2013.5,87.7448443555437,53.3819932598737,142.595234222981
2012.5,90.5152772486356,57.0756806640045,142.388725748635
2011.5,93.0340944131385,61.0072604740408,141.229027761093
2010.5,95.6012343204723,64.9404200395676,140.080412388424
2009.5,98.3728851476439,69.3326851852657,139.1271140056
2008.5,101.071398313461,73.8676491942101,137.817315278079
2007.5,103.71075695105,78.4667596870522,136.831130489026
2006.5,106.071748740076,82.9938057481852,135.397944718908
2005.5,108.060338372363,87.1864521102942,133.742966730167
2004.5,109.709560817016,90.95359935691,132.136131671432
2003.5,110.832503369944,93.7986305222968,130.481234899868
2002.5,111.49907420852,96.4651211882188,128.847828572536
2001.5,112.066366045215,98.4281837933816,127.135122805263
2000.5,112.469566741563,99.8185065545002,126.535163065
1999.5,112.936926400546,100.883386185507,126.129113212152
1998.5,113.190650766033,101.678014791595,125.770836356983
1997.5,113.320773549818,102.080290508387,125.503410192129
1996.5,113.337495543153,102.457461138188,125.331692703428
1995.5,113.251627282831,102.66954269293,125.040122801467
1994.5,113.342592451295,102.621904024754,125.33625899656
1993.5,113.750367693534,102.559867169145,125.882443344895
1992.5,114.538533481889,103.037969452868,126.897249159862
1991.5,115.764442904492,103.880279683203,128.604201710927
1990.5,117.581143624238,105.532420056589,130.829791786309
1989.5,120.18616507059,107.790394751361,133.691319863732
1988.5,123.91869098708,111.445677022333,137.276088990621
1987.5,128.429396182579,116.207279475596,141.524773718268
1986.5,133.619756250821,121.859575523968,146.561403777968
1985.5,139.346326011955,128.01196415554,152.119840175154
1984.5,145.22265261354,133.846995094771,157.895183782104
1983.5,150.739868092124,139.170420971631,163.37092875064
1982.5,155.856951948085,144.172363055989,168.721527023076
1981.5,160.721183764569,148.762078210896,173.74197659948
1980.5,165.436262046659,153.271934298194,178.656816249687
1979.5,170.279034085807,157.677803937581,183.767447908593
1978.5,175.230715103626,162.11186334141,189.151292484088
1977.5,180.042761046656,166.070326168037,194.670938948305
1976.5,184.186024823337,169.501883274048,199.741402807872
1975.5,187.251321509055,172.273907188065,203.303740832042
1974.5,189.442761502317,174.229053786956,205.756591981049
1973.5,190.402694753071,175.205894854421,206.89728964495
1972.5,190.996183132297,175.157671624719,207.937391914846
1971.5,191.995253799298,175.056844870356,209.560909943963
1970.5,194.011694477976,176.272931380061,212.475321116851
1969.5,197.303424669967,178.703259239084,216.604810490491
1968.5,202.120915023039,182.898606130084,222.089325931106
1967.5,208.082045517307,187.887400682676,229.558546973306
1966.5,214.458160110348,193.123300916687,237.246646236504
1965.5,220.71060626301,198.18568551776,245.480402291618
1964.5,227.087405923371,203.383911505011,253.641857363982
1963.5,233.611197291165,208.425467985001,261.899313680733
1962.5,239.925419210381,213.463988721385,270.332325618565
1961.5,246.335078817699,218.432831563245,278.569354283184
1960.5,252.771313978858,223.346580387754,287.336809578287
1959.5,259.383172037108,228.102478596495,296.40583348716
1958.5,265.875710859711,232.958742561245,305.322860080121
1957.5,271.953309028547,236.87144929714,314.350080995702
1956.5,277.969851066816,241.34894369371,323.019185340746
1955.5,283.613310633832,246.120288537096,329.858547013917
1954.5,289.088514161392,250.574572326612,336.998750365682
1953.5,294.664967609289,255.50951967897,343.209246743009
1952.5,299.925700206733,260.707802559961,348.159493631383
1951.5,305.081116756495,264.890965393693,352.829765371803
1950.5,309.84326458309,269.755862266565,356.617364672355
1949.5,314.213347719505,274.363421692526,360.412216037947
1948.5,318.603582361567,278.401746470344,365.063908711957
1947.5,322.480457508066,282.013049960088,370.124710765082
1946.5,326.31340310929,284.34273151837,375.278717869555
1945.5,329.976925515267,286.348023234262,382.944403524689
1944.5,333.516270393672,285.773782645337,391.286840679696
1943.5,336.952730700685,283.93979979068,401.578215975028
1942.5,340.247401812437,280.485245312785,414.64458487755
1941.5,344.120698059571,274.207643029849,431.094955720412
1940.5,347.973437084743,265.90994735728,452.200149518052
